id,name,unit,price,oldPrice,category,emoji,badge,variants,stock
79,Young's French Creamy and Salty Mayonnaise - 500ml,,380,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061435.jpg,PROMO,,229
80,Young's French Chocolate Spread - 600gm,,1100,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061718.jpg,PROMO,,232
81,Young's French Chocolate Spread - 360gm,,650,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/_/1_17.jpg,PROMO,,235
82,Young's French Chicken Spread BBQ - 500ml,,770,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062616.jpg,PROMO,,238
83,Young's French Chicken Spread BBQ - 300ml,,695,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062623.jpg,PROMO,,241
84,Young's French Chicken Spread - 946ml,,1080,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061527.jpg,PROMO,,244
85,Young's Choco Bliss Milk Chocolate Spread - 350gm,,770,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062395.jpg,PROMO,,247
86,Young's Choco Bliss Milk Chocolate Spread - 300gm,,735,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062357.jpg,PROMO,,250
87,Young's Choco Bliss Milk Chocolate Spread - 150gm,,365,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062340.jpg,PROMO,,253
88,Young's Choco Bliss Hazelnut Spread With Cocoa - 350gm,,845,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/2/0/20190506_110436_1.jpg,PROMO,,256
89,Young's Choco Bliss Hazelnut Chocolate Spread - 300gm,,685,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062319.jpg,PROMO,,259
90,Young's Choco Bliss Hazelnut Chocolate Spread - 150gm,,425,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062302.jpg,PROMO,,262
91,Young's Choco bliss Crave Milky Chocolate - 500gm,,798,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062463.jpg,PROMO,,265
92,Young's Choco Bliss Crave Milky Chocolate - 200gm,,380,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062456.jpg,PROMO,,268
93,Young's Choco bliss Crave Dark Chocolate - 500gm,,800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062449.jpg,PROMO,,271
94,Young's Choco Bliss Crave Dark Chocolate - 200gm,,360,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062432.jpg,PROMO,,274
95,Young's Chicken Spread - 300ml,,520,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_12522.jpg,PROMO,,277
96,Young's Chicken Spread - 200ml,,330,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061534.png,PROMO,,280
97,Young's Chicken Spread - 1Ltr,,1295,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061596.png,PROMO,,283
98,Young's BBQ Chicken Spread - 200ml,,340,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000062609.png,PROMO,,286
99,White Zeera Powder (Cumin Powder) - 50gm,,125,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10215_1_1.jpg,PROMO,,289
100,White Zeera (Cumin Seed) - 500gm,,910,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/s/dsc_0910.png,PROMO,,292
101,White Zeera (Cumin Seed) - 250gm,,460,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10395_1.jpg,PROMO,,295
